28420,1:1,2:8,3:5,4:4,5:2,6:10,7:9,8:6,9:7,10:3
36040,1:10,2:8,3:4,4:7,5:3,6:5,7:1,8:2,9:6,10:9
38451,1:2,2:8,3:10,4:1,5:7,6:4,7:6,8:9,9:3,10:5
4481,1:10,2:7,3:1,4:4,5:6,6:2,7:8,8:5,9:9,10:3
9444,1:8,2:1,3:3,4:6,5:10,6:5,7:2,8:7,9:4,10:9
51321,1:4,2:8,3:2,4:3,5:6,6:1,7:5,8:9,9:10,10:7
47127,1:1,2:4,3:2,4:10,5:5,6:6,7:7,8:8,9:9,10:3
6041,1:1,2:5,3:6,4:10,5:8,6:4,7:2,8:9,9:7,10:3
63792,1:7,2:9,3:2,4:4,5:10,6:5,7:8,8:6,9:3,10:1
24471,1:8,2:10,3:5,4:6,5:9,6:2,7:3,8:1,9:7,10:4
57096,1:6,2:8,3:4,4:5,5:7,6:10,7:3,8:2,9:1,10:9
14721,1:8,2:3,3:7,4:1,5:5,6:2,7:6,8:10,9:4,10:9
81100,1:4,2:1,3:10,4:3,5:7,6:9,7:2,8:8,9:6,10:5
98564,1:7,2:8,3:5,4:4,5:3,6:9,7:2,8:6,9:10,10:1
43983,1:1,2:9,3:7,4:2,5:3,6:10,7:8,8:6,9:5,10:4
93429,1:10,2:2,3:5,4:3,5:6,6:4,7:1,8:7,9:8,10:9
40605,1:2,2:10,3:9,4:5,5:6,6:7,7:3,8:8,9:1,10:4
14563,1:9,2:7,3:4,4:3,5:5,6:10,7:2,8:8,9:6,10:1
30758,1:1,2:7,3:3,4:6,5:8,6:9,7:2,8:5,9:10,10:4
80203,1:6,2:2,3:8,4:9,5:4,6:7,7:3,8:10,9:5,10:1
72252,1:9,2:2,3:7,4:1,5:5,6:3,7:4,8:8,9:6,10:10
14717,1:2,2:9,3:10,4:4,5:6,6:8,7:5,8:1,9:3,10:7
14333,1:10,2:9,3:6,4:1,5:3,6:5,7:8,8:2,9:4,10:7
6469,1:5,2:3,3:10,4:4,5:7,6:6,7:1,8:2,9:8,10:9
16128,1:2,2:9,3:8,4:4,5:7,6:5,7:3,8:1,9:10,10:6
33360,1:9,2:2,3:10,4:7,5:8,6:5,7:4,8:3,9:6,10:1
62525,1:9,2:5,3:3,4:4,5:6,6:8,7:1,8:7,9:2,10:10
26281,1:10,2:5,3:1,4:3,5:9,6:2,7:7,8:8,9:6,10:4
57290,1:5,2:1,3:6,4:7,5:3,6:9,7:8,8:4,9:2,10:10
31126,1:1,2:5,3:2,4:4,5:6,6:8,7:9,8:7,9:3,10:10
56462,1:7,2:3,3:9,4:6,5:2,6:5,7:8,8:10,9:1,10:4
52333,1:8,2:1,3:4,4:10,5:9,6:2,7:7,8:3,9:5,10:6
55297,1:8,2:2,3:1,4:9,5:3,6:6,7:10,8:4,9:7,10:5
95029,1:3,2:5,3:8,4:7,5:10,6:6,7:2,8:4,9:9,10:1
23312,1:2,2:3,3:1,4:10,5:4,6:5,7:7,8:9,9:6,10:8
81233,1:9,2:7,3:3,4:10,5:8,6:5,7:1,8:2,9:6,10:4
81404,1:9,2:1,3:2,4:10,5:8,6:7,7:3,8:6,9:5,10:4
21061,1:6,2:7,3:9,4:2,5:4,6:8,7:1,8:3,9:5,10:10
68733,1:6,2:7,3:10,4:2,5:9,6:4,7:1,8:8,9:3,10:5
77362,1:10,2:1,3:4,4:2,5:6,6:5,7:3,8:8,9:9,10:7
15130,1:9,2:1,3:5,4:3,5:7,6:2,7:6,8:10,9:4,10:8
66653,1:9,2:8,3:6,4:4,5:5,6:2,7:3,8:1,9:10,10:7
4227,1:4,2:10,3:3,4:8,5:9,6:2,7:5,8:1,9:6,10:7
32955,1:9,2:2,3:6,4:10,5:1,6:5,7:8,8:7,9:4,10:3
90157,1:5,2:7,3:4,4:2,5:3,6:9,7:6,8:8,9:10,10:1
68307,1:9,2:8,3:7,4:10,5:5,6:3,7:2,8:1,9:4,10:6
38505,1:6,2:3,3:2,4:4,5:7,6:9,7:1,8:5,9:8,10:10
94877,1:5,2:3,3:6,4:8,5:9,6:2,7:7,8:10,9:1,10:4
19119,1:7,2:4,3:1,4:10,5:5,6:6,7:9,8:8,9:2,10:3
19010,1:8,2:3,3:7,4:6,5:4,6:1,7:9,8:5,9:10,10:2
89568,1:9,2:6,3:10,4:2,5:8,6:3,7:4,8:5,9:1,10:7
33847,1:4,2:7,3:1,4:10,5:9,6:3,7:5,8:2,9:6,10:8
55586,1:6,2:5,3:9,4:1,5:7,6:2,7:8,8:3,9:10,10:4
50695,1:9,2:10,3:8,4:4,5:1,6:3,7:6,8:2,9:7,10:5
28631,1:7,2:9,3:5,4:1,5:2,6:6,7:8,8:3,9:4,10:10
97411,1:8,2:3,3:2,4:4,5:7,6:1,7:9,8:6,9:10,10:5
69198,1:6,2:3,3:2,4:1,5:8,6:10,7:4,8:5,9:7,10:9
80374,1:9,2:6,3:10,4:7,5:8,6:5,7:2,8:4,9:3,10:1
97313,1:5,2:7,3:1,4:4,5:8,6:2,7:10,8:3,9:9,10:6
12588,1:6,2:3,3:10,4:1,5:9,6:2,7:5,8:8,9:4,10:7
84468,1:1,2:9,3:6,4:8,5:10,6:4,7:5,8:3,9:2,10:7
34212,1:1,2:3,3:2,4:7,5:8,6:10,7:6,8:9,9:4,10:5
11389,1:1,2:2,3:4,4:8,5:5,6:9,7:3,8:10,9:6,10:7
45960,1:10,2:4,3:1,4:9,5:5,6:3,7:6,8:7,9:2,10:8
70048,1:8,2:2,3:10,4:5,5:3,6:4,7:6,8:7,9:1,10:9
57653,1:6,2:8,3:1,4:7,5:10,6:2,7:4,8:3,9:9,10:5
8259,1:3,2:5,3:4,4:6,5:7,6:8,7:10,8:1,9:9,10:2
50875,1:3,2:6,3:4,4:8,5:10,6:2,7:9,8:1,9:5,10:7
5432,1:5,2:10,3:3,4:1,5:4,6:9,7:8,8:2,9:7,10:6
54741,1:8,2:1,3:3,4:9,5:10,6:4,7:7,8:6,9:5,10:2
9506,1:5,2:4,3:1,4:2,5:10,6:9,7:7,8:3,9:6,10:8
67113,1:6,2:10,3:4,4:5,5:8,6:2,7:3,8:1,9:7,10:9
52046,1:9,2:5,3:6,4:4,5:1,6:10,7:3,8:8,9:2,10:7
7680,1:8,2:1,3:5,4:10,5:6,6:3,7:9,8:7,9:2,10:4
23524,1:9,2:1,3:10,4:8,5:5,6:6,7:2,8:7,9:3,10:4
38083,1:3,2:2,3:6,4:1,5:7,6:5,7:10,8:4,9:9,10:8
87533,1:4,2:5,3:3,4:10,5:6,6:7,7:1,8:2,9:9,10:8
94070,1:5,2:9,3:7,4:3,5:8,6:6,7:2,8:1,9:10,10:4
92382,1:7,2:1,3:3,4:8,5:6,6:4,7:2,8:5,9:9,10:10
24716,1:1,2:4,3:8,4:5,5:9,6:10,7:3,8:2,9:7,10:6
2819,1:10,2:5,3:3,4:4,5:9,6:2,7:8,8:7,9:1,10:6
76632,1:5,2:6,3:2,4:7,5:1,6:3,7:9,8:8,9:10,10:4
76047,1:8,2:10,3:1,4:4,5:3,6:6,7:2,8:7,9:5,10:9
45253,1:2,2:9,3:4,4:10,5:1,6:5,7:6,8:7,9:8,10:3
3138,1:4,2:6,3:2,4:10,5:8,6:1,7:7,8:9,9:3,10:5
50343,1:1,2:10,3:7,4:4,5:5,6:8,7:6,8:3,9:2,10:9
9524,1:1,2:7,3:4,4:8,5:6,6:2,7:3,8:9,9:10,10:5
44686,1:2,2:8,3:4,4:5,5:9,6:7,7:6,8:10,9:1,10:3
22637,1:9,2:10,3:1,4:7,5:6,6:8,7:3,8:4,9:5,10:2
1284,1:7,2:6,3:4,4:1,5:8,6:9,7:3,8:2,9:5,10:10
61501,1:4,2:10,3:2,4:8,5:5,6:9,7:1,8:6,9:7,10:3
79387,1:5,2:9,3:1,4:4,5:10,6:3,7:6,8:2,9:7,10:8
97775,1:4,2:9,3:8,4:5,5:10,6:1,7:3,8:6,9:2,10:7
25209,1:8,2:4,3:10,4:3,5:2,6:9,7:1,8:7,9:6,10:5
93140,1:7,2:8,3:9,4:1,5:3,6:5,7:6,8:4,9:10,10:2
67454,1:1,2:10,3:8,4:7,5:6,6:4,7:2,8:9,9:5,10:3
57987,1:7,2:8,3:9,4:4,5:10,6:2,7:1,8:6,9:5,10:3
52435,1:10,2:6,3:1,4:9,5:7,6:2,7:3,8:4,9:8,10:5
12025,1:10,2:7,3:3,4:9,5:6,6:5,7:2,8:4,9:1,10:8
99064,1:1,2:10,3:4,4:8,5:9,6:3,7:6,8:2,9:7,10:5
18820,1:3,2:6,3:9,4:5,5:4,6:1,7:8,8:2,9:10,10:7
151,1:4,2:1,3:2,4:3,5:9,6:7,7:5,8:8,9:6,10:10
1349,1:5,2:2,3:9,4:6,5:4,6:10,7:8,8:3,9:1,10:7
52598,1:3,2:4,3:2,4:5,5:10,6:8,7:9,8:1,9:6,10:7
47657,1:8,2:10,3:7,4:6,5:1,6:2,7:4,8:3,9:5,10:9
23516,1:3,2:7,3:9,4:8,5:2,6:6,7:4,8:1,9:5,10:10
89886,1:5,2:2,3:8,4:4,5:3,6:7,7:10,8:1,9:6,10:9
17900,1:10,2:6,3:3,4:4,5:7,6:1,7:2,8:5,9:8,10:9
4266,1:1,2:10,3:6,4:3,5:4,6:9,7:8,8:2,9:7,10:5
50714,1:9,2:4,3:6,4:7,5:3,6:10,7:2,8:5,9:1,10:8
11599,1:10,2:7,3:8,4:4,5:9,6:2,7:5,8:3,9:6,10:1
75042,1:8,2:1,3:5,4:9,5:3,6:6,7:7,8:10,9:2,10:4
22327,1:2,2:6,3:10,4:7,5:9,6:8,7:1,8:5,9:3,10:4
21444,1:6,2:4,3:8,4:3,5:1,6:5,7:10,8:9,9:7,10:2
82872,1:3,2:1,3:5,4:10,5:2,6:8,7:9,8:7,9:4,10:6
25034,1:1,2:8,3:4,4:3,5:2,6:7,7:10,8:9,9:6,10:5
46098,1:1,2:3,3:8,4:4,5:2,6:6,7:10,8:9,9:7,10:5
78890,1:9,2:10,3:4,4:8,5:5,6:3,7:7,8:6,9:1,10:2
33046,1:8,2:4,3:10,4:2,5:1,6:9,7:3,8:7,9:5,10:6
87834,1:8,2:2,3:7,4:6,5:5,6:4,7:1,8:9,9:3,10:10
55876,1:9,2:8,3:2,4:1,5:10,6:7,7:6,8:5,9:3,10:4
20145,1:8,2:3,3:7,4:4,5:10,6:5,7:6,8:9,9:1,10:2
99235,1:2,2:10,3:4,4:3,5:7,6:1,7:9,8:5,9:6,10:8
2292,1:10,2:5,3:3,4:9,5:4,6:8,7:6,8:2,9:7,10:1
64358,1:7,2:4,3:9,4:8,5:3,6:10,7:1,8:2,9:5,10:6
8256,1:7,2:10,3:9,4:4,5:5,6:1,7:3,8:2,9:6,10:8
30136,1:8,2:1,3:10,4:9,5:4,6:6,7:3,8:5,9:2,10:7
64383,1:5,2:10,3:4,4:1,5:3,6:7,7:2,8:9,9:8,10:6
1183,1:6,2:5,3:9,4:3,5:8,6:1,7:10,8:2,9:4,10:7
34194,1:9,2:5,3:3,4:6,5:4,6:10,7:8,8:2,9:1,10:7
59115,1:3,2:7,3:6,4:9,5:1,6:8,7:5,8:2,9:10,10:4
97341,1:2,2:10,3:5,4:1,5:7,6:4,7:8,8:6,9:3,10:9
94671,1:2,2:7,3:6,4:1,5:9,6:5,7:10,8:4,9:8,10:3
26436,1:1,2:6,3:10,4:8,5:3,6:9,7:2,8:7,9:4,10:5
52361,1:6,2:9,3:8,4:3,5:10,6:1,7:2,8:4,9:7,10:5
33224,1:8,2:4,3:7,4:9,5:6,6:5,7:10,8:1,9:3,10:2
